epoch,step,train_loss,train_accuracy_step,val_accuracy_step,val_accuracy_epoch,val_loss,train_accuracy_epoch
,842,,,0.53125,,,
,843,,,0.28125,,,
,844,,,0.40625,,,
,845,,,0.28125,,,
,846,,,0.40625,,,
,847,,,0.375,,,
,848,,,0.40625,,,
,849,,,0.3125,,,
,850,,,0.34375,,,
,851,,,0.46875,,,
,852,,,0.25,,,
,853,,,0.4375,,,
,854,,,0.34375,,,
,855,,,0.53125,,,
,856,,,0.28125,,,
,857,,,0.34375,,,
,858,,,0.34375,,,
,859,,,0.5625,,,
,860,,,0.34375,,,
,861,,,0.25,,,
,862,,,0.40625,,,
,863,,,0.3125,,,
,864,,,0.5625,,,
,865,,,0.28125,,,
,866,,,0.3125,,,
,867,,,0.28125,,,
,868,,,0.28125,,,
,869,,,0.59375,,,
,870,,,0.28125,,,
,871,,,0.4375,,,
,872,,,0.34375,,,
,873,,,0.40625,,,
,874,,,0.34375,,,
,875,,,0.34375,,,
,876,,,0.21875,,,
,877,,,0.21875,,,
,878,,,0.21875,,,
,879,,,0.34375,,,
,880,,,0.1875,,,
,881,,,0.40625,,,
,882,,,0.3125,,,
,883,,,0.46875,,,
,884,,,0.34375,,,
,885,,,0.1875,,,
,886,,,0.5,,,
,887,,,0.25,,,
,888,,,0.375,,,
,889,,,0.40625,,,
,890,,,0.34375,,,
,891,,,0.46875,,,
,892,,,0.34375,,,
,893,,,0.21875,,,
,894,,,0.375,,,
,895,,,0.375,,,
,896,,,0.125,,,
,897,,,0.25,,,
,898,,,0.3125,,,
,899,,,0.1875,,,
,900,,,0.3125,,,
,901,,,0.4375,,,
,902,,,0.375,,,
,903,,,0.3125,,,
,904,,,0.28125,,,
,905,,,0.28125,,,
,906,,,0.34375,,,
,907,,,0.28125,,,
,908,,,0.25,,,
,909,,,0.1875,,,
,910,,,0.25,,,
,911,,,0.28125,,,
,912,,,0.40625,,,
,913,,,0.375,,,
,914,,,0.40625,,,
,915,,,0.28125,,,
,916,,,0.28125,,,
,917,,,0.40625,,,
,918,,,0.21875,,,
,919,,,0.34375,,,
,920,,,0.34375,,,
,921,,,0.3125,,,
,922,,,0.34375,,,
,923,,,0.34375,,,
,924,,,0.375,,,
,925,,,0.34375,,,
,926,,,0.21875,,,
,927,,,0.1875,,,
,928,,,0.34375,,,
,929,,,0.375,,,
,930,,,0.3125,,,
,931,,,0.40625,,,
,932,,,0.28125,,,
,933,,,0.25,,,
,934,,,0.3125,,,
,935,,,0.1875,,,
,936,,,0.1875,,,
,937,,,0.34375,,,
,938,,,0.46875,,,
,939,,,0.3125,,,
,940,,,0.3125,,,
,941,,,0.375,,,
,942,,,0.5625,,,
,943,,,0.5,,,
,944,,,0.34375,,,
,945,,,0.375,,,
,946,,,0.40625,,,
,947,,,0.21875,,,
,948,,,0.375,,,
,949,,,0.28125,,,
,950,,,0.3125,,,
,951,,,0.28125,,,
,952,,,0.21875,,,
